Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T25	T41	T44	T47	T50	T53	T56	T59	T63	T67
P13639	0	0	62	0	0	0	0	0	0.9999999999999962	1.0005530163438814	1.0388334980111331	1.0439374683572458	1.0081244479266689	0.7828303001814548	0.3715003430234577	0.20496665871910189	0.1344188795185744	0.12596539332509402
P18206	0	0	81	0	0	0	0	0	0.9999999999999962	1.0288806366728132	0.9762057859781959	0.9997660718200027	1.0726950801003292	0.8419087248190876	0.7669285610746532	0.6157282962406213	0.854162758948567	0.8089695361632914
P06733	0	0	38	0	0	0	0	0	0.9999999999999962	0.9895791870565984	1.0636720816247083	1.1018325785834309	1.186951454605952	1.090666515710292	0.7563971175802776	0.34304810770667954	0.11051935395609407	0.08271691876353875
P21333	0	0	79	0	0	0	0	0	0.9999999999999962	1.1193693152106017	1.0654562898100257	0.9359778320815663	0.8447486854293557	0.5428355629718834	0.29921164406103046	0.21883119813736604	0.19008060971989793	0.1834182929245219
P11142	0	0	40	0	0	0	0	0	0.9999999999999962	0.98815455330743	1.0220450122524103	1.0274392755349078	1.030056332632241	0.8781490958356232	0.34468462100961345	0.21753142314496957	0.17106335503938952	0.15133626847110093
P26038	0	0	52	0	0	0	0	0	0.9999999999999962	0.9933293394565127	1.0376562770049655	1.0523765472959081	1.0849939511151883	0.9973614898977778	0.2250365377005926	0.13624719473193503	0.08474952619796232	0.08076679709393635
Q9Y490	0	0	76	0	0	0	0	0	0.9999999999999962	1.0807861760737412	1.0002948239558669	0.9581075842696066	0.8944643671978084	0.4883365129821336	0.32665653138130873	0.21493269165828274	0.18329784834564633	0.16992920932100877
P49327	0	0	69	0	0	0	0	0	0.9999999999999962	1.0905612844070312	0.984890714460783	0.9292843896998734	0.6933087782794581	0.39379841408017324	0.21227797964399556	0.15343974744937042	0.12430442795280287	0.12175200259449948
P08238	0	0	33	0	0	0	0	0	0.9999999999999962	1.027104685474821	1.0216006308129961	1.0541359507026964	0.9540775276793043	0.7317417186064875	0.4216289255353941	0.270025799176044	0.2288753152778266	0.20628992538284963
P38646	0	0	44	0	0	0	0	0	0.9999999999999962	0.9786265659092707	1.021575014840298	1.0100333884145452	1.0483405959920937	0.936083211535088	0.46200326875502046	0.2580953707823598	0.19749183654213803	0.1816878196621502
P55072	0	0	45	0	0	0	0	0	0.9999999999999962	1.0021712896317714	1.0058824472178751	1.0273337296863003	1.018952544123948	0.9747202146361414	0.7935102510108447	0.5878093258434911	0.799539780590316	0.6945816916544595
