Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T37	T40	T47	T53	T59	T63	T69	T75	T81	T87
P31119	Bifunctional protein Aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2	0	0	0	0	0	0	0	1	1.0215136277	0.9953821534	0.8653339852	0.6303474931	0.1718757777	0.1718757777	0.0435928878	0.0315755777	0.0359076527
P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	0	0	0	0	0	0	0	1	0.9628822582	0.9348920422	0.8555256041	0.7470675602	0.0955871577	0.0955871577	0.0254057076	0.0182816073	0.021685889
P0ABD8	Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1	0	0	0	0	0	0	0	1	0.9786376668	0.9258913108	0.8596833073	0.6095387981	0.2301388205	0.2301388205	0.1859971367	0.1764950494	0.2233083233
P24182	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	0	0	0	0	0	0	0	1	0.9806989304	0.9792740437	0.9552244435	0.3909555216	0.0750258222	0.0750258222	0.0261672587	0.0207580282	0.0225661527
P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	0	0	0	0	0	0	0	1	0.9636950806	0.9617822917	0.9014817416	0.7850205882	0.122659889	0.122659889	0.0291074057	0.0238220929	0.0291312784
P0A9G6	Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	0	0	0	0	0	0	0	1	0.8963222463	0.8903080861	0.5390032749	0.0605610932	0.037593111	0.037593111	0.0103503944	0.0079945307	0.0094984513
P08997	Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	0	0	0	0	0	0	0	1	0.9652086499	0.9784168965	0.6101166746	0.1395780898	0.0861227227	0.0861227227	0.0267969168	0.0205529272	0.023154014
P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	0	0	0	0	0	0	0	1	0.9615795405	0.923293303	0.7794376012	0.2192655383	0.0449621902	0.0449621902	0.0152821812	0.0119254232	0.0133575475
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	0	0	0	0	0	0	0	1	0.9970885523	0.9564183696	0.8410800332	0.2449159786	0.0589620121	0.0589620121	0.0216769013	0.0163959527	0.0187300124
P0A6A3	Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0094010105	0.9719881732	0.9568277554	0.9748960647	0.8510961132	0.8510961132	0.0975745681	0.0280951533	0.0278790535
P25516	Aconitate hydratase A OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	0	0	0	0	0	0	0	1	0.9684722319	0.9653875995	0.8934245628	0.6566542147	0.418925907	0.418925907	0.1510966904	0.0541587295	0.0372403154
P36683	Aconitate hydratase B OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	0	0	0	0	0	0	0	1	0.9852167834	0.9796117853	0.5995380229	0.1061563423	0.0787177707	0.0787177707	0.0200962003	0.0169095351	0.0209350091
