Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T37	T40	T47	T53	T59	T63	T69	T75	T81	T87
P31119	Bifunctional protein Aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2	0	0	0	0	0	0	0	1	1.0514965991	1.0121800101	0.8704404769	0.3420440041	0.1130322105	0.1130322105	0.052518971	0.0420410965	0.0379369028
P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	0	0	0	0	0	0	0	1	1.0991494885	1.0076048044	0.9714797473	0.623849726	0.0863069154	0.0863069154	0.055983175	0.0468436166	0.0421558448
P0ABD8	Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0706298911	1.1130478116	1.0886835386	0.6882865234	0.6041774158	0.6041774158	0.6410173648	0.6548398156	0.6383120066
P24182	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	0	0	0	0	0	0	0	1	1.0414295775	0.9481358072	0.8168609692	0.0798861595	0.0500144283	0.0500144283	0.0260855736	0.0223171746	0.0212415307
P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	0	0	0	0	0	0	0	1	1.0508323772	1.0596116832	1.0301325519	0.7226134031	0.1314742713	0.1314742713	0.0523503727	0.0501624654	0.0479869198
P0A9G6	Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	0	0	0	0	0	0	0	1	1.070169405	0.8147418633	0.2273295021	0.0605919597	0.0450836666	0.0450836666	0.0223673209	0.0185572793	0.0169833504
P08997	Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0925032543	1.0609086459	0.8293195208	0.1314212723	0.1019407404	0.1019407404	0.0345863994	0.0282989665	0.0271294128
P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	0	0	0	0	0	0	0	1	1.0738566072	0.9999215661	0.7086619164	0.0965240411	0.0491433161	0.0491433161	0.0228624369	0.0186384161	0.0170019238
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	0	0	0	0	0	0	0	1	1.1273207789	1.0699509987	0.8563516797	0.3067836491	0.185450325	0.185450325	0.0377497851	0.0317898102	0.0297209003
P0A6A3	Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0493616715	1.0175299389	1.0279830405	0.743748795	0.3870671471	0.3870671471	0.0336680333	0.019995361	0.0196857517
P25516	Aconitate hydratase A OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	0	0	0	0	0	0	0	1	1.0607353	1.002631959	1.0111440094	0.745747924	0.4477361582	0.4477361582	0.1597754174	0.0485559326	0.0299788295
P36683	Aconitate hydratase B OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	0	0	0	0	0	0	0	1	1.0658754731	1.0511336746	0.6000935573	0.1974508406	0.1628460777	0.1628460777	0.0498340182	0.0457069457	0.0512455468
P0A6A8	Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2	0	0	0	0	0	0	0	1	1.178860953	1.1477989992	0.8900713788	0.6018592977	0.4508634452	0.4508634452	0.246105327	0.3069413438	0.2863959273
P24224	Holo-[acyl-carrier-protein] synthase OS=Escherichia coli (strain K12) GN=acpS PE=1 SV=3	0	0	0	0	0	0	0	1	1.0531107249	1.0216335754	0.5323362953	0.203083839	0.0914603259	0.0914603259	0.0482082178	0.0355161047	0.0360303841
P0AE06	Multidrug efflux pump subunit AcrA OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0847456043	1.1283840212	0.5723187231	0.4082794795	0.4625567682	0.4625567682	0.3362661434	0.348948395	0.3505898801
P31224	Multidrug efflux pump subunit AcrB OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0450292678	1.0444813168	0.8680907171	0.6894231661	0.3511176891	0.3511176891	0.1600050421	0.1204158533	0.0869598785
P0ACS9	HTH-type transcriptional regulator AcrR OS=Escherichia coli (strain K12) GN=acrR PE=1 SV=1	0	0	0	0	0	0	0	1	1.0792978554	1.0388315123	0.5960677034	0.1502975849	0.0952891241	0.0952891241	0.0472014079	0.0376395156	0.0403103221
P27550	Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2	0	0	0	0	0	0	0	1	1.0367880509	1.0434577072	0.6760143681	0.1852535517	0.1445303693	0.1445303693	0.0782983628	0.0698723013	0.0692924507
P26646	Probable acrylyl-CoA reductase AcuI OS=Escherichia coli (strain K12) GN=acuI PE=1 SV=1	0	0	0	0	0	0	0	1	1.0453357808	1.0356863785	0.2502522735	0.0832372322	0.0615672861	0.0615672861	0.0523063332	0.0456719725	0.0389883807
P22333	Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2	0	0	0	0	0	0	0	1	0.992440326	0.9208874681	0.3159956718	0.1240473945	0.0967674532	0.0967674532	0.0488805301	0.0437354576	0.0420176605
P31441	Adenine deaminase OS=Escherichia coli (strain K12) GN=ade PE=1 SV=2	0	0	0	0	0	0	0	1	1.0599237492	1.0259548955	0.8120741628	0.4979898188	0.2369810632	0.2369810632	0.0352449987	0.0268175823	0.023072297
P31466	Adenine permease AdeP OS=Escherichia coli (strain K12) GN=adeP PE=1 SV=2	0	0	0	0	0	0	0	1	1.0832577012	1.0709591881	0.773131673	0.4948154726	0.4085063614	0.4085063614	0.1657170888	0.0960316213	0.0727176846
